Gene,Role in Cancer
A1CF,oncogene
ABI1,"TSG, fusion"
ABL1,"oncogene, fusion"
ABL2,"oncogene, fusion"
ACSL3,fusion
ACSL6,fusion
ACVR1,oncogene
ACVR2A,TSG
AFF1,fusion
AFF3,"oncogene, fusion"
AFF4,"oncogene, fusion"
AKAP9,fusion
AKT1,oncogene
AKT2,oncogene
AKT3,oncogene
ALDH2,fusion
ALK,"oncogene, fusion"
AMER1,TSG
ANK1,none
APOBEC3B,"oncogene, TSG"
ARAF,oncogene
ARHGAP26,"TSG, fusion"
ARHGAP35,TSG
ARHGAP5,oncogene
ARHGEF10,TSG
ARHGEF10L,TSG
ARHGEF12,"TSG, fusion"
ARID1A,"TSG, fusion"
ARID1B,TSG
ARID2,TSG
ARNT,"oncogene, TSG, fusion"
ASPSCR1,fusion
ASXL1,TSG
ASXL2,TSG
ATIC,fusion
ATM,TSG
ATP1A1,"oncogene, TSG"
ATP2B3,TSG
ATRX,TSG
AXIN1,TSG
AXIN2,TSG
B2M,TSG
BAP1,TSG
BARD1,TSG
BAX,TSG
BAZ1A,TSG
BCL10,"TSG, fusion"
BCL11A,"oncogene, fusion"
BCL11B,"oncogene, TSG, fusion"
BCL2,"oncogene, fusion"
BCL2L12,oncogene
BCL3,"oncogene, fusion"
BCL6,"oncogene, fusion"
BCL7A,fusion
BCL9,"oncogene, fusion"
BCL9L,"oncogene, TSG"
BCLAF1,none
BCOR,"TSG, fusion"
BCORL1,"oncogene, TSG"
BCR,fusion
BIRC3,"oncogene, TSG, fusion"
BIRC6,"oncogene, fusion"
BLM,TSG
BMP5,none
BMPR1A,"oncogene, TSG"
BRAF,"oncogene, fusion"
BRCA1,TSG
BRD3,"oncogene, fusion"
BRD4,"oncogene, fusion"
BTG2,TSG
BTK,"oncogene, TSG"
CACNA1D,oncogene
CALR,oncogene
CAMTA1,"TSG, fusion"
CANT1,fusion
CARD11,oncogene
CARS,"TSG, fusion"
CASP3,TSG
CASP8,TSG
CASP9,TSG
CBFA2T3,"TSG, fusion"
CBFB,"TSG, fusion"
CBL,"oncogene, TSG, fusion"
CBLB,TSG
CBLC,"oncogene, TSG"
CCDC6,"TSG, fusion"
CCNB1IP1,"TSG, fusion"
CCNC,TSG
CCND1,"oncogene, fusion"
CCND2,"oncogene, fusion"
CCND3,"oncogene, fusion"
CCNE1,oncogene
CCR7,oncogene
CD209,none
CD274,"TSG, fusion"
CD28,oncogene
CD74,"oncogene, fusion"
CD79A,oncogene
CD79B,oncogene
CDC73,TSG
CDH10,TSG
CDH11,"TSG, fusion"
CDH17,oncogene
CDK12,TSG
CDK4,oncogene
CDK6,"oncogene, fusion"
CDKN1B,TSG
CDKN2A,TSG
CDKN2C,TSG
CDX2,"TSG, fusion"
CEP89,fusion
CHCHD7,fusion
CHD2,TSG
CHD4,oncogene
CHEK2,TSG
CHIC2,fusion
CHST11,"oncogene, fusion"
CIC,"oncogene, TSG, fusion"
CIITA,"TSG, fusion"
CLIP1,fusion
CLP1,fusion
CLTC,"TSG, fusion"
CLTCL1,"TSG, fusion"
CNBD1,none
CNBP,"TSG, fusion"
CNOT3,TSG
CNTNAP2,TSG
CNTRL,fusion
COL1A1,fusion
COL2A1,fusion
COL3A1,fusion
COX6C,fusion
CPEB3,TSG
CREB1,"oncogene, fusion"
CREB3L1,"TSG, fusion"
CREB3L2,"oncogene, fusion"
CREBBP,"oncogene, TSG, fusion"
CRLF2,"oncogene, fusion"
CRNKL1,none
CRTC1,"oncogene, fusion"
CRTC3,fusion
CSF1R,oncogene
CSF3R,oncogene
CSMD3,TSG
CTCF,TSG
CTNNA2,oncogene
CTNNB1,"oncogene, fusion"
CTNND1,none
CTNND2,oncogene
CUL3,TSG
CUX1,"oncogene, TSG"
CXCR4,oncogene
CYLD,TSG
CYP2C8,none
CYSLTR2,oncogene
DAXX,"oncogene, TSG"
DCAF12L2,none
DCC,none
DDB2,"oncogene, TSG"
DDIT3,"oncogene, fusion"
DDR2,oncogene
DDX10,"TSG, fusion"
DDX3X,TSG
DDX5,"oncogene, fusion"
DDX6,"oncogene, fusion"
DEK,"oncogene, fusion"
DGCR8,oncogene
DICER1,TSG
DNAJB1,fusion
DNM2,TSG
DNMT3A,TSG
DROSHA,TSG
EBF1,"TSG, fusion"
ECT2L,none
EED,TSG
EGFR,oncogene
EIF1AX,none
EIF3E,"TSG, fusion"
EIF4A2,fusion
ELF3,TSG
ELF4,"oncogene, TSG, fusion"
